Category,Subcategory,Original Title,AWDP Title,Length,Weight,Notes
Operators,EntryGard,TRUTH ENTRYGARD OPERATOR LH,Left‑Hand EntryGard Casement Operator,, ,
Operators,EntryGard,TRUTH ENTRYGARD OPERATOR RH,Right‑Hand EntryGard Casement Operator,, ,
Operators,EntryGard,ENTRYGARD OPERATOR LH WHITE,Left‑Hand EntryGard Casement Operator – White Finish,, ,
Operators,EntryGard,ENTRYGARD OPERATOR RH WHITE,Right‑Hand EntryGard Casement Operator – White Finish,, ,
Operators,EntryGard,ENTRYGARD OPERATOR LH BRONZE,Left‑Hand EntryGard Casement Operator – Bronze Finish,, ,
Operators,EntryGard,ENTRYGARD OPERATOR RH BRONZE,Right‑Hand EntryGard Casement Operator – Bronze Finish,, ,
Operators,Encore,TRUTH ENCORE OPERATOR LH,Left‑Hand Encore Casement Operator,, ,
Operators,Encore,TRUTH ENCORE OPERATOR RH,Right‑Hand Encore Casement Operator,, ,
Operators,Encore,ENCORE OPERATOR LH WHITE,Left‑Hand Encore Casement Operator – White Finish,, ,
Operators,Encore,ENCORE OPERATOR RH WHITE,Right‑Hand Encore Casement Operator – White Finish,, ,
Operators,Encore,ENCORE OPERATOR LH BRONZE,Left‑Hand Encore Casement Operator – Bronze Finish,, ,
Operators,Encore,ENCORE OPERATOR RH BRONZE,Right‑Hand Encore Casement Operator – Bronze Finish,, ,
Operators,Maxim,TRUTH MAXIM OPERATOR LH,Left‑Hand Maxim Casement Operator,, ,
Operators,Maxim,TRUTH MAXIM OPERATOR RH,Right‑Hand Maxim Casement Operator,, ,
Operators,Maxim,MAXIM OPERATOR LH WHITE,Left‑Hand Maxim Casement Operator – White Finish,, ,
Operators,Maxim,MAXIM OPERATOR RH WHITE,Right‑Hand Maxim Casement Operator – White Finish,, ,
Operators,Maxim,MAXIM OPERATOR LH BRONZE,Left‑Hand Maxim Casement Operator – Bronze Finish,, ,
Operators,Maxim,MAXIM OPERATOR RH BRONZE,Right‑Hand Maxim Casement Operator – Bronze Finish,, ,
Operators,Dyad,TRUTH DYAD OPERATOR LH,Left‑Hand Dyad Casement Operator,, ,
Operators,Dyad,TRUTH DYAD OPERATOR RH,Right‑Hand Dyad Casement Operator,, ,
Operators,Dyad,DYAD OPERATOR LH WHITE,Left‑Hand Dyad Casement Operator – White Finish,, ,
Operators,Dyad,DYAD OPERATOR RH WHITE,Right‑Hand Dyad Casement Operator – White Finish,, ,
Operators,Dyad,DYAD OPERATOR LH BRONZE,Left‑Hand Dyad Casement Operator – Bronze Finish,, ,
Operators,Dyad,DYAD OPERATOR RH BRONZE,Right‑Hand Dyad Casement Operator – Bronze Finish,, ,
Operators,Split Arm,TRUTH SPLIT ARM OPERATOR LH,Left‑Hand Split‑Arm Casement Operator,, ,
Operators,Split Arm,TRUTH SPLIT ARM OPERATOR RH,Right‑Hand Split‑Arm Casement Operator,, ,
Operators,Rear Mount,TRUTH REAR MOUNT OPERATOR LH,Left‑Hand Rear‑Mount Casement Operator,, ,
Operators,Rear Mount,TRUTH REAR MOUNT OPERATOR RH,Right‑Hand Rear‑Mount Casement Operator,, ,
Operators,Awning,TRUTH AWNING OPERATOR,Awning Window Operator,, ,
Operators,Awning,AWNING OPERATOR WHITE,Awning Window Operator – White Finish,, ,
Operators,Awning,AWNING OPERATOR BRONZE,Awning Window Operator – Bronze Finish,, ,
Operators,Handles,TRUTH CRANK HANDLE,Universal Casement Crank Handle,, ,
Operators,Handles,TRUTH FOLDING HANDLE,Folding Casement Operator Handle,, ,
Operators,Handles,TANGO HANDLE,Tango‑Style Casement Operator Handle,, ,
Operators,Handles,CONTOUR HANDLE,Contour‑Style Casement Operator Handle,, ,
Operators,Covers,OPERATOR COVER WHITE,Operator Cover – White Finish,, ,
Operators,Covers,OPERATOR COVER BRONZE,Operator Cover – Bronze Finish,, ,
Operators,Covers,OPERATOR COVER BEIGE,Operator Cover – Beige Finish,, ,
Operators,Tie Bars,TRUTH TIE BAR 10.9",10.9" Multipoint Tie Bar,, ,
Operators,Tie Bars,TRUTH TIE BAR 14.9",14.9" Multipoint Tie Bar,, ,
Operators,Tie Bars,TRUTH TIE BAR 22.9",22.9" Multipoint Tie Bar,, ,
Operators,Tie Bars,TRUTH TIE BAR 30.9",30.9" Multipoint Tie Bar,, ,
Operators,Tie Bars,TRUTH TIE BAR 36.9",36.9" Multipoint Tie Bar,, ,
Operators,Tie Bars,TRUTH TIE BAR 50.9",50.9" Multipoint Tie Bar,, ,
Operators,Tie Bars,TRUTH TIE BAR 70.9",70.9" Multipoint Tie Bar,, ,
