category,product_name,product_url,base_sku,base_price_text,description,image_urls,base_attributes_json,variation_sku,variation_price,variation_attributes_json
Wood Window Parts - Other Brands(101),.300 Kerf Insert Weather-Strip Seal,https://truthentrygard.com/product/300-kerf-insert-weather-strip-seal/,TEG-LPB-713.,$ 0.00,Got Questions? Not sure what you need? Feel free to email: info@truthentrygard.com NOT SURE WHAT YOU NEED?!? EMAIL PICTURES AND WE WILL GET YOU TAKEN CARE OF!,,{},,,
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""1'"", ""attribute_color"": ""White""}"
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""1'"", ""attribute_color"": ""Dark Bronze""}"
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""1'"", ""attribute_color"": ""Sandstone""}"
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""2'"", ""attribute_color"": ""White""}"
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""2'"", ""attribute_color"": ""Dark Bronze""}"
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""2'"", ""attribute_color"": ""Sandstone""}"
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""3'"", ""attribute_color"": ""White""}"
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""3'"", ""attribute_color"": ""Dark Bronze""}"
Wood Window Parts - Other Brands(101),1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,TEG-bbrp-00055,$ 23.88,"**For questions or concerns, please contact info@truthentrygard.com",,"{""Length"": ""1', 2', 3', 4', 5', 6'"", ""Color"": ""White, Dark Bronze, Sandstone""}",TEG-bbrp-00055,23.88,"{""attribute_length"": ""3'"", ""attribute_color"": ""Sandstone""}"
